"УИК №642","УИК №643","УИК №644","УИК №645","УИК №646","УИК №647","УИК №648","УИК №649","УИК №650","УИК №651","УИК №652","УИК №653","УИК №654","УИК №655","УИК №656","УИК №657","УИК №658","УИК №659","УИК №660","УИК №661","УИК №662","УИК №663","УИК №664","УИК №665","УИК №666","УИК №667","УИК №668","УИК №669","УИК №670","УИК №671","УИК №672","УИК №673","УИК №674","УИК №675","УИК №676","УИК №677","УИК №678","УИК №679","УИК №680","УИК №681","УИК №682","УИК №683","УИК №684","УИК №685","УИК №686","УИК №687","УИК №688","УИК №689","УИК №690","УИК №691","УИК №692","УИК №693","УИК №694","УИК №695","УИК №696","УИК №697","УИК №698","УИК №699","УИК №700","УИК №701","УИК №702","УИК №703","УИК №704","УИК №705","УИК №706","УИК №707","УИК №708","УИК №709","УИК №710","УИК №711","УИК №712","УИК №713","УИК №714","УИК №715","УИК №716","УИК №717","УИК №718","УИК №719","УИК №720","УИК №721","УИК №722","УИК №723","УИК №724","УИК №725","УИК №726","УИК №727","УИК №728","УИК №729","УИК №730","УИК №731","УИК №732","УИК №733","УИК №734","УИК №735","УИК №736","УИК №737","УИК №738","УИК №739","УИК №740","УИК №741","УИК №742","УИК №743","УИК №744","УИК №745","УИК №746","УИК №747","УИК №748","УИК №749","УИК №750","УИК №751","УИК №752","УИК №753","УИК №3460","УИК №3461","УИК №3495","УИК №3496"
"0","4","4","2","4","0","0","3","20","3","0","4","1","0","1","2","0","2","0","3","0","1","7","2","2","2","1","2","2","5","2","0","2","1","4","1","0","4","0","2","1","0","2","3","1","0","0","0","9","2","0","2","0","2","3","2","0","3","3","3","1","2","0","0","1","5","1","4","2","11","2","2","3","0","12","8","0","3","3","2","2","2","0","4","1","1","2","0","0","0","13","4","2","2","7","2","15","0","5","4","3","4","5","3","4","2","1","0","0","0","0","0","0","1","2","0"
"2","9","3","4","6","0","2","5","36","2","0","5","3","3","0","4","0","4","0","7","0","3","7","2","1","1","2","3","24","5","2","0","20","3","5","2","2","4","3","4","1","0","1","5","2","0","4","6","18","3","0","2","0","2","2","0","0","30","4","5","4","8","0","0","2","0","2","2","3","15","2","2","4","5","4","6","0","3","2","2","3","7","10","9","2","10","0","1","4","4","35","0","2","1","28","3","13","0","2","1","5","1","6","4","14","3","2","0","0","6","0","4","6","0","4","0"
"2","3","5","5","2","0","6","6","10","3","0","8","3","0","1","1","15","5","0","4","5","2","8","3","3","2","3","7","11","2","3","0","10","5","4","3","2","4","25","1","2","6","1","5","3","2","5","3","5","2","2","3","4","4","4","1","0","4","2","10","13","2","0","4","3","12","2","1","4","16","3","5","2","4","13","6","2","2","4","3","4","4","2","5","1","3","1","2","3","6","19","19","4","2","17","5","3","0","3","2","4","4","3","3","6","3","3","15","0","3","0","0","2","2","0","0"
"1101","788","994","998","881","434","789","563","801","480","809","815","432","716","457","890","799","809","704","320","752","866","463","886","860","894","702","726","441","762","928","946","683","626","464","718","603","1137","932","426","459","811","579","726","587","581","555","599","393","961","280","792","607","814","504","825","402","1014","820","845","886","721","826","608","646","676","595","806","514","964","602","936","632","592","560","1164","690","1010","630","783","918","1032","829","1035","681","602","454","484","642","866","971","953","690","513","168","973","1089","1045","984","908","1181","401","1002","390","371","1059","566","828","5","458","13","68","554","392","50","69"
"10","2","4","7","3","0","3","0","27","0","0","1","3","0","1","5","7","2","0","3","4","1","7","3","2","2","0","1","4","8","1","0","3","1","4","1","0","4","0","2","1","1","4","3","1","3","3","1","8","2","3","1","0","3","1","2","0","3","3","2","2","1","6","0","5","10","3","2","1","14","1","7","5","5","8","6","2","3","2","2","3","6","1","1","2","1","4","0","2","4","9","7","2","1","8","1","2","0","7","4","2","2","3","0","7","4","5","10","0","1","0","1","4","0","3","0"
"0","1","1","1","4","15","3","4","2","0","0","1","1","0","0","3","0","1","0","0","0","2","1","2","1","1","1","2","2","0","3","0","0","2","0","0","0","6","0","0","1","2","2","2","1","0","0","1","0","2","0","2","0","4","0","1","0","1","1","0","2","1","3","0","1","6","1","5","0","5","1","1","1","0","11","2","0","3","0","3","1","6","1","3","1","1","1","1","0","0","0","2","0","1","3","2","2","0","4","2","2","1","3","0","2","3","1","0","0","0","0","1","1","0","0","0"
"68","41","55","56","48","22","43","31","42","31","44","44","23","3","25","49","44","44","38","40","46","48","43","45","47","49","38","39","53","42","92","48","37","35","25","41","33","62","50","23","25","44","31","38","33","31","31","33","45","53","15","41","3","45","28","45","22","73","45","46","48","39","54","33","35","30","33","44","27","50","32","51","35","32","83","63","40","55","37","43","51","56","48","57","37","33","33","28","35","52","72","52","37","28","57","53","60","59","54","50","65","22","55","21","35","55","31","32","0","17","1","17","30","22","12","4"
"2","2","1","0","2","0","2","0","8","0","0","1","2","0","2","1","0","3","0","4","3","1","10","4","3","0","0","0","2","1","1","0","1","2","0","0","0","5","0","2","0","3","2","3","1","1","0","1","5","2","1","8","0","0","0","2","0","2","0","0","2","1","0","0","0","0","1","3","1","9","1","1","1","3","5","1","0","3","3","3","2","4","0","4","1","1","2","0","3","0","3","2","0","1","3","1","3","0","3","2","4","0","4","0","3","4","1","0","0","1","0","1","0","0","0","0"
"0","1","0","2","5","0","3","2","9","0","0","1","5","7","2","2","0","9","0","4","2","2","6","1","2","1","1","0","0","3","1","0","5","5","0","0","2","4","0","1","2","0","4","2","1","4","2","6","4","3","1","4","0","3","0","4","0","2","6","3","1","5","0","0","2","7","3","2","2","13","3","2","2","5","1","12","0","3","2","2","2","0","2","2","1","2","2","1","0","2","6","3","4","2","8","12","2","0","9","1","5","2","3","0","5","5","1","0","0","1","0","0","2","1","0","0"
"0","2","1","2","3","0","2","0","1","2","0","0","0","0","0","4","0","1","0","1","0","1","1","2","3","0","1","0","0","3","3","0","0","0","0","1","2","3","0","1","2","0","0","2","1","0","0","1","0","3","0","1","0","4","0","1","0","0","2","0","2","2","0","0","0","0","2","3","2","0","2","9","1","2","1","1","0","2","0","2","1","2","0","1","1","0","1","0","0","0","2","0","0","2","0","2","2","0","2","2","3","0","2","0","0","4","1","0","0","0","0","0","4","0","0","0"
